"K0_number","Level2","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31"
"K00387","Diatom",17,13,27,31,21,20,14,6,6,52,114,88,85
"K00387","Dinoflagellate",304,149,244,466,344,205,723,502,890,1280,5387,3813,4717
"K00387","Haptophyte",22,7,29,47,31,23,8,5,11,0,1,5,7
"K00390","Chlorophyte",31,17,54,46,42,33,0,3,0,0,0,0,0
"K00390","Ciliate",0,0,0,0,0,0,250,58,147,0,0,0,0
"K00390","Diatom",196,110,521,265,231,326,101,56,127,9,39,53,44
"K00390","Dinoflagellate",91,53,119,145,104,85,121,76,166,43,75,70,92
"K00390","Haptophyte",745,339,1374,1234,1132,1165,2,1,3,1,14,5,27
"K00411","Chlorophyte",339,184,564,613,504,519,20,19,58,45,126,129,44
"K00411","Ciliate",227,101,173,381,310,326,473,371,596,22,178,92,77
"K00411","Diatom",362,196,908,562,527,655,118,108,161,102,576,353,497
"K00411","Dinoflagellate",137,100,186,296,198,162,577,285,701,290,1236,969,1122
"K00411","Haptophyte",244,132,506,390,351,385,47,27,73,2,3,11,9
"K00413","Chlorophyte",345,177,658,699,603,502,10,2,5,0,15,11,21
"K00413","Ciliate",935,494,636,1532,1610,1357,1142,702,1420,235,851,678,404
"K00413","Diatom",351,166,819,527,492,589,170,109,268,35,120,81,97
"K00413","Dinoflagellate",299,159,405,574,452,338,354,203,402,265,983,777,800
"K00413","Haptophyte",419,224,929,756,714,685,153,94,155,18,156,144,96
"K00417","Chlorophyte",61,47,233,103,100,138,0,0,0,1,6,11,0
"K00417","Ciliate",0,0,2,0,2,0,0,0,0,0,0,0,0
"K00417","Diatom",23,7,88,36,39,44,15,16,18,0,5,1,3
"K00417","Dinoflagellate",12,5,36,17,23,32,12,9,11,0,0,0,0
"K00417","Haptophyte",31,20,102,68,68,96,18,2,4,0,0,0,0
"K00428","Chlorophyte",120,57,148,218,171,121,104,87,99,40,111,112,32
"K00428","Ciliate",48,29,92,75,56,79,10,11,9,0,0,0,0
"K00428","Diatom",34,16,53,61,43,54,18,22,25,7,41,43,38
"K00428","Dinoflagellate",294,187,368,546,375,296,678,400,641,289,1220,953,1333
"K00428","Haptophyte",85,55,146,142,121,138,144,82,160,22,49,47,17
"K00432","Chlorophyte",1152,636,2662,2170,1769,2347,10,5,9,3,5,3,0
"K00432","Ciliate",21,12,17,27,31,22,1,4,3,3,40,19,37
"K00432","Diatom",36,28,123,86,69,80,9,10,18,0,0,0,0
"K00432","Dinoflagellate",28,14,75,22,30,32,208,131,213,33,164,108,265
"K00432","Haptophyte",1366,705,4563,2510,2012,2934,35,21,24,0,3,0,0
"K00434","Chlorophyte",465,261,823,830,710,677,18,8,10,8,20,7,13
"K00434","Ciliate",19,10,36,36,34,22,280,202,308,4,0,0,4
"K00434","Diatom",53,22,44,58,57,49,39,24,24,0,11,4,4
"K00434","Dinoflagellate",458,231,511,761,593,367,402,195,454,147,646,412,497
"K00434","Haptophyte",68,31,137,114,101,104,0,0,0,12,23,28,38
"K00451","Chlorophyte",0,2,0,4,1,2,0,0,0,26,19,26,39
